1,Curry,Snack
2,Plate,Container
3,Shampoo,Cleaning Stuff
4,Green Tea,Drink
5,Chewing Gum,Snack
6,Chopsticks,Cutlery
7,Soup Container,Container
8,Aquarius,Drink
9,Fries,Snack
10,Bowl,Container
11,Candy,Snack
12,Asience,Cleaning Stuff
13,Fork,Cutlery
14,Spoon,Cutlery
15,Hair Spray,Cleaning Stuff
16,Radish,Food
17,Apple,Fruit
18,Cold Brew,Drink
19,Onion,Food
20,Corn,Food
21,Jelly,Snack
22,Bread,Food
23,Cup Star,Snack
24,Orange,Fruit
25,Moisturizer,Cleaning Stuff
26,Coke,Drink
